trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,13,21.53951366039733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,8,-28.55815218219408,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",30,10,-27.650644381148936,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,0,-55.49980225061857,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,6,-13.514533403119152,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,0,-12.039382866494025,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,19,11.04023657770807,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,2,3.2277061044827486,"{0: 24, 1: 3, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,2,29.82349184165675,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",30,0,-127.63198428396142,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 4}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,13,-7.942142070961525,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,6,-40.94655521117641,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,0,-107.60063305115406,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,8,-8.348989474105776,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,10,20.197008417831086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",25,2,-14.003514572108601,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",25,14,16.371748469221906,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",25,0,0.39044824763463026,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,0,-49.82840205045597,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",25,0,14.608020428789207,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",20,14,0.7048810870879167,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",30,12,-57.883090352758,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,0,-23.545432070749104,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,0,-8.58488060045888,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",30,20,11.868359254814063,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,0,8.830132283090737,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",25,19,10.97164562413211,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,4,8.314600837043198,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
